CUEST,REGION,P1. El barrio en el que usted vive es…,P1b. Encuestador (no leer) registre si tiene certeza de que se trata de una villa o asentamiento:,P2. Tipo de vivienda,P22. ¿Cuál fue el monto de ingreso/salario que percibió el mes pasado por su ocupación principal?,"[Reclamos en internet través de petitorios, foros, tuitazo y otras modalidades virtuales.] P1. Ud. participó en reclamos colectivos durante la pandemia tales como…",[Movilizaciones / concentraciones] P1. Ud. participó en reclamos colectivos durante la pandemia tales como…,[Cacerolazos / ruidazos] P1. Ud. participó en reclamos colectivos durante la pandemia tales como…,[Paros] P1. Ud. participó en reclamos colectivos durante la pandemia tales como…,[Cortes de calle o vías de transito] P1. Ud. participó en reclamos colectivos durante la pandemia tales como…,[Otros] P1. Ud. participó en reclamos colectivos durante la pandemia tales como…,[Problemas laborales] P2. ¿Cuáles fueron los motivos por los cuales participó en los reclamos?,[Contra la cuarentena y otras medidas sanitarias] P2. ¿Cuáles fueron los motivos por los cuales participó en los reclamos?,[En favor de clases presenciales] P2. ¿Cuáles fueron los motivos por los cuales participó en los reclamos?,[En contra de las clases presenciales] P2. ¿Cuáles fueron los motivos por los cuales participó en los reclamos?,[Seguridad / Corrupción / Justicia] P2. ¿Cuáles fueron los motivos por los cuales participó en los reclamos?,[Por Asistencia Social del Estado (Ej. Ayuda alimentaria / planes sociales)] P2. ¿Cuáles fueron los motivos por los cuales participó en los reclamos?,[Derechos de las mujeres] P2. ¿Cuáles fueron los motivos por los cuales participó en los reclamos?,[Atención o prevención de salud] P2. ¿Cuáles fueron los motivos por los cuales participó en los reclamos?,[Acceso a la vivienda y servicios públicos] P2. ¿Cuáles fueron los motivos por los cuales participó en los reclamos?,[Otro] P2. ¿Cuáles fueron los motivos por los cuales participó en los reclamos?,P3. Participó usted en organizaciones sociales comunitarias en distribución de alimentos/comedores/ tareas de prevención en salud/ cuidado de adultos mayores/asistencia en trámites informáticos?,"[Ingreso Familiar de Emergencia] P4. A continuación, le pedimos que nos diga su grado de acuerdo con las siguientes medidas…","[ATP y medidas de sostenimiento del salario de empresas privadas] P4. A continuación, le pedimos que nos diga su grado de acuerdo con las siguientes medidas…","[Doble indemnización y prohibición de despidos] P4. A continuación, le pedimos que nos diga su grado de acuerdo con las siguientes medidas…","[Aporte solidario / impuesto a las grandes riquezas] P4. A continuación, le pedimos que nos diga su grado de acuerdo con las siguientes medidas…","[Congelamiento de alquileres y tarifas] P4. A continuación, le pedimos que nos diga su grado de acuerdo con las siguientes medidas…","[… disminuir impuestos a las grandes empresas] P5. Durante la pandemia muchas voces reclamaron diversas medidas para implementar a futuro. A continuación, le pedimos que nos indique su grado de acuerdo con ….","[... disminuir impuestos a pequeñas y medianas empresas] P5. Durante la pandemia muchas voces reclamaron diversas medidas para implementar a futuro. A continuación, le pedimos que nos indique su grado de acuerdo con ….","[… mayores impuestos a la riqueza] P5. Durante la pandemia muchas voces reclamaron diversas medidas para implementar a futuro. A continuación, le pedimos que nos indique su grado de acuerdo con ….","[… renta universal que garantice un ingreso para todas las familias vulnerables] P5. Durante la pandemia muchas voces reclamaron diversas medidas para implementar a futuro. A continuación, le pedimos que nos indique su grado de acuerdo con ….","P6. Muchas personas dicen que pertenecen a una clase determinada, Si tuviera que elegir una de las siguientes categorías, ¿diría que pertenece a...?",Cantidad total de miembros del hogar,Cantidad total de adultos en el hogar,Sexo entrevistado,Edad cumplida entrevistado,Edad en intervalos
1170,PAMPEANA,1, ,1,65000,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,2,1,3,2,2,2,5,3,2,2,49,5
1171,PAMPEANA,1, ,1, ,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,1,1,3,2,2,2,5,5,2,2,27,4
1172,PAMPEANA,1, ,3,40000,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,1,1,2,2,3,3,6,1,1,1,68,7
1173,PAMPEANA,1, ,1,35000,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,1,1,4,2,4,2,6,1,1,1,43,5
1174,PAMPEANA,1, ,1, ,2,2,2,2,2,2, , , , , , , , , , ,2,2,2,2,3,2,4,2,3,3,6,3,2,2,48,5
1175,PAMPEANA,1, ,1, ,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,1,1,4,2,2,2,6,4,2,2,39,5
1176,PAMPEANA,1, ,1,45000,2,2,2,2,2,2, , , , , , , , , , ,2,3,3,3,3,2,4,4,4,2,5,5,2,1,36,5
1177,PAMPEANA,1, ,1, ,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,1,1,4,2,2,2,5,4,3,2,46,5
1178,PAMPEANA,1, ,1,999999,2,2,2,2,2,2, , , , , , , , , , ,2,3,3,1,3,1,3,3,2,3,5,6,2,1,37,5
1179,PAMPEANA,1, ,1,999999,2,2,2,2,2,2, , , , , , , , , , ,2,3,3,3,3,3,4,4,4,4,4,4,2,2,47,5
1180,PAMPEANA,1, ,1,999999,1,1,2,2,2,2,0,0,0,0,1,0,0,0,0, ,2,1,1,3,3,3,2,2,4,2,3,4,4,2,54,6
1181,PAMPEANA,1, ,1, ,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,3,3,3,2,2,4,4,3,1,1,2,62,7
1182,PAMPEANA,1, ,1, ,2,2,2,2,2,2, , , , , , , , , , ,2,3,1,1,1,3,3,3,2,4,3,2,2,2,67,7
1183,PAMPEANA,1, ,4,60000,2,2,2,2,2,2, , , , , , , , , , ,1,1,1,1,1,1,2,2,2,2,5,2,2,1,27,4
1184,PAMPEANA,1, ,1, ,2,2,2,2,2,2, , , , , , , , , , ,2,3,3,3,3,3,2,2,4,4,3,2,2,1,66,7
1185,PAMPEANA,1, ,1,60000,2,2,2,2,2,2, , , , , , , , , , ,1,1,3,1,1,1,4,2,2,2,5,3,3,2,45,5
1186,PAMPEANA,1, ,4,999999,2,2,2,2,2,2, , , , , , , , , , ,2,1,2,2,2,2,3,3,3,3,3,1,1,2,50,6
1187,PAMPEANA,1, ,3,130000,2,2,2,2,2,2, , , , , , , , , , ,2,3,3,3,1,1,4,4,2,4,3,2,2,1,28,4
1188,PAMPEANA,1, ,1,70000,2,2,2,2,2,2, , , , , , , , , , ,2,3,3,1,1,1,4,2,2,4,4,7,4,1,60,7
1189,PAMPEANA,1, ,1,65000,2,2,2,2,2,2, , , , , , , , , , ,2,2,2,2,1,1,4,3,2,2,4,4,3,2,55,6
1190,PAMPEANA,1, ,1,999999,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,2,2,2,3,2,3,2,3,3,3,2,58,6
1191,PAMPEANA,1, ,1, ,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,3,1,1,2,2,2,2,3,1,1,2,70,7
1192,PAMPEANA,1, ,1,30000,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,3,1,2,2,2,2,2,3,2,2,2,64,7
1193,PAMPEANA,1, ,1, ,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,1,1,2,2,4,2,3,2,2,1,83,8
1194,PAMPEANA,1, ,1, ,2,2,2,2,2,2, , , , , , , , , , ,2,2,2,2,2,1,4,2,2,3,5,4,2,2,36,5
1195,PAMPEANA,1, ,1, ,2,2,2,2,2,2, , , , , , , , , , ,2,1,2,2,2,2,4,2,4,4,4,4,4,2,57,6
1196,PAMPEANA,1, ,1,18000,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,3,1,4,3,2,2,5,4,1,2,25,4
1197,PAMPEANA,4,1,3, ,2,2,2,2,2,2, , , , , , , , , , ,2,1,2,2,2,1,3,3,3,2,3,2,2,2,24,4
1198,PAMPEANA,4,1,3,40000,2,2,2,2,2,2, , , , , , , , , , ,2,1,2,2,2,1,3,3,2,2,3,1,1,2,25,4
1199,PAMPEANA,4,1,3,40000,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,1,1,3,3,3,2,3,3,3,2,23,4
1200,PAMPEANA,4,1,1,55000,2,1,2,2,2,2,0,0,0,0,0,0,1,0,0, ,2,1,2,1,1,1,3,2,2,2,4,3,1,2,40,5
1201,PAMPEANA,4,1,3,25000,2,2,2,2,2,2, , , , , , , , , , ,1,3,3,3,3,3,2,2,4,4,6,1,1,1,56,6
1202,PAMPEANA,4,1,1,15000,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,2,1,3,2,2,2,6,9,3,2,37,5
1203,PAMPEANA,1, ,1,100000,1,1,2,2,2,2,0,0,0,0,1,0,0,0,0, ,2,2,2,3,3,3,3,4,4,4,3,2,2,2,66,7
1204,PAMPEANA,1, ,1,80000,2,2,2,2,2,2, , , , , , , , , , ,1,3,3,3,1,2,3,3,3,4,3,2,2,1,51,6
1205,PAMPEANA,1, ,1, ,2,1,2,2,2,2,0,0,0,0,1,0,0,0,0, ,2,3,2,1,3,1,4,2,3,4,3,3,3,2,54,6
1206,PAMPEANA,1, ,1,15000,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,1,3,4,4,2,2,3,3,3,1,22,4
1207,PAMPEANA,1, ,1, ,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,1,1,4,2,2,2,5,7,4,2,43,5
1208,PAMPEANA,1, ,1, ,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,2,1,3,3,3,2,4,2,2,1,32,5
1209,PAMPEANA,1, ,1,90000,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,1,1,4,2,4,4,4,2,2,1,62,7
1210,PAMPEANA,1, ,1, ,2,2,2,2,2,2, , , , , , , , , , ,1,1,1,3,1,1,4,4,2,2,3,1,1,2,78,8
1211,PAMPEANA,1, ,1, ,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,1,1,4,2,2,2,4,2,2,2,52,6
1212,PAMPEANA,1, ,4,60000,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,3,1,4,2,4,2,4,3,2,2,51,6
1213,PAMPEANA,1, ,1,80000,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,1,1,4,2,2,2,3,2,2,2,60,7
1214,PAMPEANA,1, ,1,70000,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,1,1,4,2,4,2,4,1,1,1,50,6
1215,PAMPEANA,1, ,1, ,2,2,2,2,2,2, , , , , , , , , , ,2,3,3,3,3,3,3,3,3,3,4,1,1,2,60,7
1216,PAMPEANA,1, ,1, ,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,1,1,2,2,2,2,5,1,1,1,70,7
1217,PAMPEANA,1, ,4,47000,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,1,1,4,2,2,2,5,2,1,2,30,5
1218,PAMPEANA,1, ,1,50000,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,1,1,4,2,2,2,4,1,1,1,58,6
1219,PAMPEANA,1, ,1,12000,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,1,1,4,2,4,2,6,1,1,2,50,6
1220,PAMPEANA,1, ,1, ,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,1,1,4,2,2,2,4,3,2,2,43,5
1221,PAMPEANA,1, ,1, ,2,2,2,2,2,2, , , , , , , , , , ,2,2,2,1,1,1,4,2,2,3,5,5,4,2,50,6
1222,PAMPEANA,1, ,1, ,2,2,2,2,2,2, , , , , , , , , , ,2,3,3,3,3,3,2,2,4,3,2,7,6,2,54,6
1223,PAMPEANA,1, ,1,60000,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,2,1,3,2,3,2,5,3,2,1,49,5
1224,PAMPEANA,1, ,6, ,2,2,2,2,2,2, , , , , , , , , , ,2,1,2,2,1,1,4,2,2,2,4,1,1,1,19,4
1225,PAMPEANA,1, ,4,60000,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,1,1,4,2,2,2,4,1,1,2,50,6
1226,PAMPEANA,1, ,1,12000,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,1,1,4,2,2,2,6,1,1,1,42,5
1227,PAMPEANA,1, ,4,60000,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,1,1,2,2,2,2,4,1,1,1,52,6
1228,PAMPEANA,1, ,1,999999,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,1,1,2,2,2,2,3,1,1,1,55,6
1229,PAMPEANA,1, ,1, ,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,1,1,2,2,2,2,4,2,2,2,62,7
1230,PAMPEANA,1, ,1, ,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,1,1,4,2,2,2,5,1,1,2,58,6
1231,PAMPEANA,1, ,4,999999,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,1,1,4,2,4,2,5,1,1,2,42,5
1232,PAMPEANA,1, ,4,999999,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,1,1,2,2,4,2,3,1,1,1,58,6
1233,PAMPEANA,1, ,1,10000,2,2,2,2,2,2, , , , , , , , , , ,2,2,2,1,2,1,3,2,3,3,5,4,2,2,32,5
1234,PAMPEANA,1, ,1, ,2,2,2,2,2,2, , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,5,4,4,2,44,5
1235,PAMPEANA,1, ,1, ,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,2,1,3,2,2,3,5,2,2,1,78,8
1236,PAMPEANA,1, ,1,100000,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,2,1,4,2,3,2,3,4,4,1,60,7
1237,PAMPEANA,1, ,1, ,2,2,2,2,2,2, , , , , , , , , , ,2,2,2,1,2,1,3,3,2,3,5,5,5,1,78,8
1238,PAMPEANA,1, ,1, ,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,3,1,3,3,3,2,6,1,1,2,80,8
1239,PAMPEANA,1, ,1, ,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,3,1,4,2,3,2,6,5,5,2,46,5
1240,PAMPEANA,1, ,1, ,2,2,2,2,2,2, , , , , , , , , , ,2,2,2,2,2,2,3,2,3,3,3,2,2,2,55,6
1241,PAMPEANA,1, ,1, ,2,2,2,2,2,2, , , , , , , , , , ,2,1,2,2,1,1,3,3,2,2,4,2,2,2,35,5
1242,PAMPEANA,1, ,1,120000,2,2,2,2,2,2, , , , , , , , , , ,2,1,2,1,1,1,4,2,2,2,5,2,1,2,54,6
1243,PAMPEANA,1, ,1,36000,2,2,2,2,2,2, , , , , , , , , , ,2,1,3,1,1,1,4,2,2,2,5,2,2,2,46,5
1244,PAMPEANA,4,1,3,999999,2,2,2,2,2,2, , , , , , , , , , ,1,1,1,1,1,1,3,2,3,2,6,5,3,2,55,6
1245,PAMPEANA,4,1,1, ,2,2,2,2,2,2, , , , , , , , , , ,2,1,3,1,3,1,3,2,3,2,6,5,2,2,35,5
1246,PAMPEANA,4,1,3, ,2,2,2,2,2,2, , , , , , , , , , ,2,1,2,1,2,1,3,2,2,2,6,3,2,2,61,7
1247,PAMPEANA,1, ,1, ,2,2,2,2,2,2, , , , , , , , , , ,1,1,1,1,1,1,4,2,2,2,3,5,2,2,43,5
1248,PAMPEANA,4,1,1, ,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,2,1,3,2,3,2,5,4,2,2,27,4
1249,PAMPEANA,1, ,1,40000,2,2,2,2,2,2, , , , , , , , , , ,2,2,2,2,2,2,3,3,3,3,3,1,1,2,25,4
1250,PAMPEANA,1, ,1, ,2,2,2,2,2,2, , , , , , , , , , ,2,1,3,1,1,1,2,2,2,2,4,2,2,2,70,7
1251,PAMPEANA,4,1,3,50000,2,2,2,2,2,2, , , , , , , , , , ,1,1,2,1,1,1,4,2,2,2,4,2,2,2,55,6
1252,GBA,1, ,1,40000,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,1,1,2,2,2,2,5,4,2,2,35,5
1253,GBA,1, ,1,25000,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,2,1,3,3,3,2,5,6,2,2,29,4
1254,GBA,1, ,1,999999,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,1,1,3,3,3,2,5,2,2,1,36,5
1255,GBA,1, ,1,30000,2,2,2,2,2,2, , , , , , , , , , ,2,3,1,3,3,1,4,2,3,4,5,2,2,1,70,7
1256,GBA,1, ,1,999999,2,2,2,2,2,2, , , , , , , , , , ,2,1,2,1,1,1,2,2,2,2,5,5,1,1,41,5
1257,GBA,1, ,1, ,2,2,2,2,2,2, , , , , , , , , , ,2,2,2,2,2,2,3,3,3,3,5,3,3,2,61,7
1258,GBA,1, ,1, ,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,3,1,4,4,4,2,6,4,3,2,57,6
1259,GBA,1, ,1, ,2,2,2,2,2,2, , , , , , , , , , ,2,2,2,1,1,1,2,2,2,2,5,3,2,1,24,4
1260,GBA,2, ,1,16000,2,2,2,2,2,2, , , , , , , , , , ,2,3,3,3,3,3,2,2,3,4,3,4,4,1,24,4
1261,GBA,1, ,4, ,1,1,1,2,2,2,0,0,0,0,1,0,1,0,0, ,1,1,1,1,1,1,4,4,2,2,3,3,2,1,24,4
1262,GBA,2, ,1, ,2,2,2,2,2,2, , , , , , , , , , ,1,1,1,1,1,1,4,4,4,2,6,2,2,1,23,4
1263,GBA,1, ,1, ,2,2,2,2,2,2, , , , , , , , , , ,2,1,2,1,2,1,2,3,3,2,5,5,3,2,61,7
1264,GBA,1, ,1,26000,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,1,1,3,3,2,2,5,5,5,2,58,6
1265,GBA,1, ,1,40000,2,2,2,2,2,2, , , , , , , , , , ,2,1,2,3,1,1,3,2,3,2,5,6,3,1,33,5
1266,GBA,1, ,1, ,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,1,1,4,3,3,3,6,3,3,1,23,4
1267,GBA,1, ,1, ,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,2,2,2,2,2,2,3,3,4,4,1,24,4
1268,GBA,1, ,1, ,1,2,1,2,2,2,0,1,0,0,1,0,0,0,0, ,2,1,1,1,1,1,4,3,2,3,3,3,3,1,24,4
1269,GBA,1, ,1, ,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,1,1,4,2,2,3,5,3,3,1,23,4
1270,GBA,1, ,1, ,2,2,2,2,2,2, , , , , , , , , , ,2,2,1,3,3,1,4,2,4,2,3,2,2,1,23,4
1271,GBA,1, ,1, ,2,2,2,2,2,2, , , , , , , , , , ,2,2,3,1,1,1,4,3,2,2,3,3,3,1,24,4
1272,GBA,1, ,1,80000,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,1,2,3,3,3,3,3,1,1,1,39,5
1273,GBA,1, ,1, ,2,2,2,2,2,2, , , , , , , , , , ,2,1,3,1,1,1,2,2,2,4,6,4,3,1,49,5
1274,GBA,2, ,1, ,2,2,2,2,2,2, , , , , , , , , , ,2,1,2,1,1,1,3,3,2,2,6,7,2,2,29,4
1275,GBA,1, ,1,48000,1,2,2,2,2,2,0,1,0,0,0,0,0,0,0, ,2,1,1,1,1,1,2,2,2,2,5,3,2,2,34,5
1276,GBA,1, ,1,35000,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,1,1,2,2,2,2,6,5,2,1,35,5
1277,GBA,1, ,1,27000,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,1,1,4,2,2,2,5,4,2,1,27,4
1278,GBA,1, ,1, ,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,1,1,4,2,2,2,5,2,2,2,58,6
1279,GBA,1, ,1, ,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,1,1,4,4,4,2,4,5,5,1,23,4
1280,GBA,1, ,1, ,2,2,2,2,2,2, , , , , , , , , , ,2,2,2,1,1,1,4,2,2,2,5,3,2,2,23,4
1281,GBA,2, ,1, ,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,1,1,4,3,2,2,6,9,5,1,23,4
1282,GBA,1, ,1, ,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,2,2,2,2,2,2,3,5,6,5,1,23,4
1283,GBA,1, ,4, ,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,1,1,4,2,2,2,3,2,2,1,23,4
1284,GBA,1, ,1,20000,2,2,2,2,2,2, , , , , , , , , , ,2,1,2,1,1,1,4,3,2,2,4,3,1,2,41,5
1285,GBA,1, ,1,32000,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,1,1,3,3,3,2,6,4,4,2,57,6
1286,GBA,1, ,1, ,2,2,2,2,2,2, , , , , , , , , , ,2,2,1,1,2,1,4,2,3,3,5,3,3,1,24,4
1287,GBA,1, ,1, ,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,1,3,4,4,2,2,3,3,3,1,23,4
1288,GBA,1, ,4, ,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,1,1,3,2,2,2,99,2,2,1,23,4
1289,GBA,1, ,1, ,2,2,2,2,2,2, , , , , , , , , , ,2,1,3,3,3,3,2,2,4,4,3,5,4,2,22,4
1290,GBA,2, ,1, ,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,2,2,2,3,3,3,3,3,3,3,1,24,4
1291,GBA,1, ,1, ,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,1,1,4,3,2,3,5,4,4,1,23,4
1292,GBA,2, ,1, ,2,2,2,2,2,2, , , , , , , , , , ,2,1,2,1,1,1,2,2,2,3,6,5,2,1,23,4
1293,GBA,1, ,1, ,2,2,2,2,2,2, , , , , , , , , , ,2,2,1,3,3,1,4,3,3,4,4,4,3,1,24,4
1294,GBA,1, ,6, ,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,2,2,1,3,3,3,3,3,2,2,1,23,4
1295,GBA,1, ,1,36000,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,3,1,2,2,4,2,3,2,2,2,23,4
1296,GBA,2, ,1, ,2,2,2,2,2,2, , , , , , , , , , ,1,1,1,1,1,1,4,2,2,2,5,4,4,1,24,4
1297,GBA,1, ,4,30000,2,2,2,2,2,2, , , , , , , , , , ,2,1,2,2,2,2,2,2,2,3,5,3,3,1,24,4
1298,GBA,1, ,5,20000,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,1,1,4,4,2,2,6,1,1,1,33,5
1299,PAMPEANA,1, ,1,35000,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,1,1,4,4,4,2,3,5,2,2,39,5
1300,PAMPEANA,1, ,1, ,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,1,1,4,4,4,2,4,2,2,2,65,7
1301,PAMPEANA,1, ,1,40000,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,1,1,4,4,4,4,3,5,4,2,52,6
1302,PAMPEANA,1, ,1, ,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,1,1,3,3,3,3,4,5,2,2,50,6
1303,PAMPEANA,1, ,1,10000,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,1,1,4,4,4,4,4,2,1,2,23,4
1304,PAMPEANA,1, ,1, ,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,1,1,2,2,2,2,3,1,1,2,83,8
1305,PAMPEANA,1, ,1,25000,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,1,1,2,2,2,2,3,2,2,2,55,6
1306,PAMPEANA,1, ,1,20000,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,1,1,2,2,2,2,4,3,3,2,56,6
1307,PAMPEANA,1, ,1,15000,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,1,1,2,2,2,2,3,3,3,2,32,5
1308,PAMPEANA,1, ,1,70000,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,1,1,2,2,2,2,3,3,2,1,34,5
1309,PAMPEANA,1, ,1, ,2,2,2,2,2,2, , , , , , , , , , ,2,3,3,1,1,1,3,3,3,3,4,3,3,1,18,4
1310,PAMPEANA,2, ,1,999999,2,2,2,2,2,2, , , , , , , , , , ,2,3,3,2,3,1,2,2,2,2,3,2,2,1,59,6
1311,PAMPEANA,2, ,1,12000,2,2,2,2,2,2, , , , , , , , , , ,2,3,3,1,1,3,2,2,2,3,3,3,3,1,36,5
1312,PAMPEANA,1, ,1, ,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,1,1,2,2,2,2,3,1,1,1,77,8
1313,PAMPEANA,1, ,1,42000,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,1,1,2,2,2,2,3,4,3,1,50,6
1314,PAMPEANA,1, ,1,999999,2,2,2,2,2,2, , , , , , , , , , ,2,3,3,3,3,3,4,4,4,4,2,1,1,1,58,6
1315,PAMPEANA,1, ,1,28000,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,2,1,1,2,2,2,2,3,3,2,2,30,5
1316,PAMPEANA,1, ,1,100000,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,1,1,2,2,2,2,2,3,2,2,52,6
1317,PAMPEANA,1, ,1,50000,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,1,1,2,2,2,2,2,6,6,1,24,4
1318,PAMPEANA,1, ,1,46500,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,1,1,2,2,2,2,4,6,6,1,54,6
1319,PAMPEANA,1, ,1,100000,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,1,1,2,2,4,3,3,1,1,1,54,6
1320,PAMPEANA,1, ,1,48500,2,2,2,2,2,2, , , , , , , , , , ,2,2,2,2,2,1,2,2,2,2,3,3,2,1,49,5
1321,PAMPEANA,1, ,1,22000,2,2,2,2,2,2, , , , , , , , , , ,2,3,2,1,2,1,2,2,2,2,2,6,6,1,33,5
1322,PAMPEANA,1, ,1, ,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,1,1,4,4,4,2,4,3,3,2,33,5
1323,PAMPEANA,1, ,1,120000,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,1,1,4,2,4,2,3,3,3,1,46,5
1324,PAMPEANA,1, ,1, ,2,2,2,2,2,2, , , , , , , , , , ,2,3,1,2,3,3,2,2,4,3,4,3,3,1,36,5
1325,PAMPEANA,1, ,1,999999,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,1,1,4,2,2,3,5,5,3,2,38,5
1326,PAMPEANA,1, ,1,30000,2,2,2,2,2,2, , , , , , , , , , ,2,2,3,1,2,1,4,2,3,2,5,2,2,2,37,5
1327,PAMPEANA,1, ,4,40000,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,1,1,4,2,2,2,3,1,1,1,47,5
1328,PAMPEANA,1, ,1,80000,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,1,1,2,2,2,2,3,5,3,1,56,6
1329,PAMPEANA,1, ,1, ,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,3,1,2,2,2,2,3,2,2,1,76,8
1330,PAMPEANA,2, ,1, ,2,2,2,2,2,2, , , , , , , , , , ,2,3,1,2,3,2,2,2,2,3,3,2,2,1,73,7
1331,PAMPEANA,1, ,1,90000,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,1,1,2,2,2,2,3,1,1,1,55,6
1332,PAMPEANA,1, ,1, ,1,2,2,2,2,2,0,0,0,0,0,1,0,0,0, ,2,2,2,2,3,1,2,2,2,2,4,3,2,1,53,6
1333,PAMPEANA,2, ,1, ,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,1,1,2,2,2,2,5,1,1,2,52,6
1334,PAMPEANA,1, ,1,999999,2,2,2,2,2,2, , , , , , , , , , ,2,2,2,2,2,1,2,2,2,2,3,4,4,1,62,7
1335,PAMPEANA,1, ,1, ,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,1,1,2,2,2,2,4,3,2,2,36,5
